business_name,data_source,google_maps_url,area,suburb,phone,dmi_score,dmi_category,tier,recommended_product,recommendation_reason,key_weaknesses,inquiry_leakage_probability,digital_silence_index,priority_score,conversion_likelihood_score,conversion_likelihood_band,data_quality_grade,priority_reason,whatsapp_script
Parsi Gymkhana Grounds,ai_estimate,https://maps.google.com/?q=Parsi+Gymkhana+Grounds+Marine Drive,Marine Drive,South Mumbai,,23.91,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Parsi Gymkhana Grounds*, Marine Drive.
Google pe practically invisible hai abhi. Koi family 'banquet hall Marine Drive' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Swagat Banquet Hall Goregaon,ai_estimate,https://maps.google.com/?q=Swagat+Banquet+Hall+Goregaon+Goregaon,Goregaon,Goregaon,,27.95,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Swagat Banquet Hall Goregaon*, Goregaon.
Google pe practically invisible hai abhi. Koi family 'banquet hall Goregaon' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Eskay Resorts Lawn,ai_estimate,https://maps.google.com/?q=Eskay+Resorts+Lawn+Borivali West,Borivali West,Borivali,,25.32,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Eskay Resorts Lawn*, Borivali West.
Google pe practically invisible hai abhi. Koi family 'banquet hall Borivali West' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Madhav Banquet,ai_estimate,https://maps.google.com/?q=Madhav+Banquet+Thane West,Thane West,Thane West,,28.69,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Madhav Banquet*, Thane West.
Google pe practically invisible hai abhi. Koi family 'banquet hall Thane West' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Exotica Yeoor Hills,ai_estimate,https://maps.google.com/?q=Exotica+Yeoor+Hills+Yeoor Hills,Yeoor Hills,Thane West,,29.05,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Exotica Yeoor Hills*, Yeoor Hills.
Google pe practically invisible hai abhi. Koi family 'banquet hall Yeoor Hills' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Kesar Banquet,ai_estimate,https://maps.google.com/?q=Kesar+Banquet+Kharghar,Kharghar,Kharghar,,27.59,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Kesar Banquet*, Kharghar.
Google pe practically invisible hai abhi. Koi family 'banquet hall Kharghar' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Shubharambh Lawns,ai_estimate,https://maps.google.com/?q=Shubharambh+Lawns+Karve Nagar,Karve Nagar,Pune West,,27.95,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,217.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Shubharambh Lawns*, Karve Nagar.
Google pe practically invisible hai abhi. Koi family 'banquet hall Karve Nagar' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
All Heavens Banquet,ai_estimate,https://maps.google.com/?q=All+Heavens+Banquet+Thane West,Thane West,Thane West,,23.04,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,75,213.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *All Heavens Banquet*, Thane West.
Google pe practically invisible hai abhi. Koi family 'banquet hall Thane West' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Shaurya Banquet,ai_estimate,https://maps.google.com/?q=Shaurya+Banquet+Thane West,Thane West,Thane West,,27.28,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,75,213.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Shaurya Banquet*, Thane West.
Google pe practically invisible hai abhi. Koi family 'banquet hall Thane West' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Royal Orchid Banquets,ai_estimate,https://maps.google.com/?q=Royal+Orchid+Banquets+Chembur,Chembur,Chembur,,22.69,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,213.04,25.2,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Royal Orchid Banquets*, Chembur.
Google pe practically invisible hai abhi. Koi family 'banquet hall Chembur' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Imperial Hall,ai_estimate,https://maps.google.com/?q=Imperial+Hall+Ghatkopar,Ghatkopar,Chembur,,20.19,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,213.04,25.2,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Imperial Hall*, Ghatkopar.
Google pe practically invisible hai abhi. Koi family 'banquet hall Ghatkopar' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Nisarg Lawn & Banquet,ai_estimate,https://maps.google.com/?q=Nisarg+Lawn+&+Banquet+Kalyan,Kalyan,Kalyan,,27.43,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Very few Google reviews — families judge trust by review count', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,100,213.04,25.2,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Nisarg Lawn & Banquet*, Kalyan.
Google pe practically invisible hai abhi. Koi family 'banquet hall Kalyan' search kare toh aap dikhte hi nahi.

*Main problem: Very few Google reviews — families judge trust by review count*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Elegance Banquet,ai_estimate,https://maps.google.com/?q=Elegance+Banquet+Borivali,Borivali,Borivali,,26.34,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,60,207.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Elegance Banquet*, Borivali.
Google pe practically invisible hai abhi. Koi family 'banquet hall Borivali' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Maharaja Banquet,ai_estimate,https://maps.google.com/?q=Maharaja+Banquet+Ghodbunder Rd,Ghodbunder Rd,Thane West,,28.32,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,60,207.34,26.7,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Maharaja Banquet*, Ghodbunder Rd.
Google pe practically invisible hai abhi. Koi family 'banquet hall Ghodbunder Rd' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Kohinoor Hall,ai_estimate,https://maps.google.com/?q=Kohinoor+Hall+Dadar,Dadar,Dadar,,28.67,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,207.04,25.2,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Kohinoor Hall*, Dadar.
Google pe practically invisible hai abhi. Koi family 'banquet hall Dadar' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Royal Symphony Banquet,ai_estimate,https://maps.google.com/?q=Royal+Symphony+Banquet+Dadar,Dadar,Dadar,,27.59,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,207.04,25.2,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Royal Symphony Banquet*, Dadar.
Google pe practically invisible hai abhi. Koi family 'banquet hall Dadar' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
Royal Garden Banquet,ai_estimate,https://maps.google.com/?q=Royal+Garden+Banquet+Dadar,Dadar,Dadar,,27.09,Digitally Invisible,Tier C,DigiStories + SmartOS,"Hall is both digitally invisible and operationally leaky. Families cannot find them online, and even those who do inquire often fall through the cracks.","['Low Google review count — needs consistent review collection', 'Never replies to Google reviews — signals to families that nobody is watching', 'No consistent Instagram reels — looks inactive to younger couples doing research']",0.88,85,207.04,25.2,Low,B,severely silent online | losing ~88% of inquiries | high DigiStories opportunity,"Namaste Bhai 🙏

Rohit Nate here — banquet operator from Dadar, also work with DigiVenue.

Aapka hall check kiya — *Royal Garden Banquet*, Dadar.
Google pe practically invisible hai abhi. Koi family 'banquet hall Dadar' search kare toh aap dikhte hi nahi.

*Main problem: Low Google review count — needs consistent review collection*

Har mahine roughly *88% inquiries* sirf is wajah se kho rahi hain.

Ek 2-page free snapshot bhejun kya — koi sales nahi, bas realistic picture. Aap decide karo kya karna hai. 🙏"
